"ccode1","ccode2","eligible","origin","label","probability"
"140","305",TRUE,0,0,0
"145","305",TRUE,0,0,0
"150","305",TRUE,0,0,0
"155","305",TRUE,0,0,0.001
"160","305",TRUE,0,0,0
"165","305",TRUE,0,0,0
"200","305",TRUE,0,0,0.015
"205","305",TRUE,0,0,0.002
"210","305",TRUE,0,0,0.005
"211","305",TRUE,0,0,0.003
"212","305",TRUE,0,0,0.002
"220","305",TRUE,0,0,0.019
"225","305",TRUE,0,0,0.008
"230","305",TRUE,0,0,0.007
"235","305",TRUE,0,0,0
"255","305",TRUE,0,0,0.054
"260","305",FALSE,NA,NA,0
"290","305",TRUE,0,0,0.032
"2","310",TRUE,0,0,0.001
"20","310",TRUE,0,0,0
"31","310",TRUE,0,0,0
"41","310",TRUE,0,0,0
"42","310",TRUE,0,0,0
"51","310",TRUE,0,0,0
"52","310",TRUE,0,0,0
"53","310",TRUE,0,0,0
"70","310",TRUE,0,0,0
"80","310",TRUE,0,0,0
"90","310",TRUE,0,0,0
"91","310",TRUE,0,0,0
"92","310",TRUE,0,0,0
"93","310",TRUE,0,0,0
"94","310",TRUE,0,0,0.001
"95","310",TRUE,0,0,0
"100","310",TRUE,0,0,0
"101","310",TRUE,0,0,0
"115","310",TRUE,0,0,0
"130","310",TRUE,0,0,0.001
"135","310",TRUE,0,0,0
"140","310",TRUE,0,0,0.002
"145","310",TRUE,0,0,0
