"ccode1","ccode2","eligible","origin","label","probability"
"42","255",TRUE,0,0,0.004
"51","255",TRUE,0,0,0.003
"52","255",TRUE,0,0,0.001
"53","255",TRUE,0,0,0.003
"70","255",TRUE,0,0,0.003
"80","255",TRUE,0,0,0.003
"90","255",TRUE,0,0,0.002
"91","255",TRUE,0,0,0
"92","255",TRUE,0,0,0.002
"93","255",TRUE,0,0,0.002
"94","255",TRUE,0,0,0
"95","255",TRUE,0,0,0.001
"100","255",TRUE,0,0,0.008
"101","255",TRUE,0,0,0.001
"115","255",TRUE,0,0,0.003
"130","255",TRUE,0,0,0.003
"135","255",TRUE,0,0,0
"140","255",TRUE,0,0,0.012
"145","255",TRUE,0,0,0.001
"150","255",TRUE,0,0,0.002
"155","255",TRUE,0,0,0.002
"160","255",TRUE,0,0,0.004
"165","255",TRUE,0,0,0.002
"200","255",TRUE,0,0,0.021
"205","255",TRUE,0,0,0.043
"210","255",TRUE,0,0,0.016
"211","255",TRUE,0,0,0.007
"212","255",TRUE,0,0,0.01
"220","255",TRUE,0,0,0.025
"225","255",TRUE,0,0,0.169
"230","255",TRUE,0,0,0.004
"235","255",TRUE,0,0,0.006
"2","260",FALSE,NA,NA,0
"20","260",FALSE,NA,NA,0
"31","260",FALSE,NA,NA,0
"41","260",FALSE,NA,NA,0
"42","260",FALSE,NA,NA,0
"51","260",FALSE,NA,NA,0
"52","260",FALSE,NA,NA,0
"53","260",FALSE,NA,NA,0
"70","260",FALSE,NA,NA,0
"80","260",FALSE,NA,NA,0
"90","260",FALSE,NA,NA,0
"91","260",FALSE,NA,NA,0
"92","260",FALSE,NA,NA,0
"93","260",FALSE,NA,NA,0
"94","260",FALSE,NA,NA,0
"95","260",FALSE,NA,NA,0
"100","260",FALSE,NA,NA,0
"101","260",FALSE,NA,NA,0
"115","260",FALSE,NA,NA,0
"130","260",FALSE,NA,NA,0
"135","260",FALSE,NA,NA,0
"140","260",FALSE,NA,NA,0
"145","260",FALSE,NA,NA,0
"150","260",FALSE,NA,NA,0
"155","260",FALSE,NA,NA,0
"160","260",FALSE,NA,NA,0
"165","260",FALSE,NA,NA,0
"200","260",FALSE,NA,NA,0
"205","260",FALSE,NA,NA,0
"210","260",FALSE,NA,NA,0
"211","260",FALSE,NA,NA,0
"212","260",FALSE,NA,NA,0
"220","260",FALSE,NA,NA,0
"225","260",FALSE,NA,NA,0
"230","260",FALSE,NA,NA,0
"235","260",FALSE,NA,NA,0
"255","260",FALSE,NA,NA,0
"2","290",TRUE,0,0,0.002
"20","290",TRUE,0,0,0
"31","290",TRUE,0,0,0.001
"41","290",TRUE,0,0,0.002
"42","290",TRUE,0,0,0.001
"51","290",TRUE,0,0,0
"52","290",TRUE,0,0,0
"53","290",TRUE,0,0,0.001
"70","290",TRUE,0,0,0.002
"80","290",TRUE,0,0,0.002
"90","290",TRUE,0,0,0.004
"91","290",TRUE,0,0,0.006
"92","290",TRUE,0,0,0.002
"93","290",TRUE,0,0,0.002
"94","290",TRUE,0,0,0.003
"95","290",TRUE,0,0,0.003
"100","290",TRUE,0,0,0.003
"101","290",TRUE,0,0,0.002
"115","290",TRUE,0,0,0.004
"130","290",TRUE,0,0,0.001
"135","290",TRUE,0,0,0.006
"140","290",TRUE,0,0,0.004
"145","290",TRUE,0,0,0.001
"150","290",TRUE,0,0,0.002
"155","290",TRUE,0,0,0.01
"160","290",TRUE,0,0,0.012
"165","290",TRUE,0,0,0.001
"200","290",TRUE,0,0,0.015
"205","290",TRUE,0,0,0.009
"210","290",TRUE,0,0,0.005
"211","290",TRUE,0,0,0.001
"212","290",TRUE,0,0,0
"220","290",TRUE,1,1,1
"225","290",TRUE,0,0,0.123
"230","290",TRUE,1,1,0.999
"235","290",TRUE,0,0,0.002
"255","290",TRUE,1,1,1
"260","290",FALSE,NA,NA,0
"2","305",TRUE,0,0,0.001
"20","305",TRUE,0,0,0
"31","305",TRUE,0,0,0.001
"41","305",TRUE,0,0,0.001
"42","305",TRUE,0,0,0
"51","305",TRUE,0,0,0
"52","305",TRUE,0,0,0
"53","305",TRUE,0,0,0
"70","305",TRUE,0,0,0
"80","305",TRUE,0,0,0
"90","305",TRUE,0,0,0
"91","305",TRUE,0,0,0
"92","305",TRUE,0,0,0.001
